"story","explanandumVariable","explanansVariable","utterance","tag","story.number","rating"
"story1","B","A","B because A","hit",1,0.366033089907093
"story2","A","B","A because B","hit",2,0.419726501471102
"story2","C","B","C because B","hit",2,0.607539139275568
"story3","B","A","B because A","lower",3,0.311907790425863
"story3","C","A","! C because A","hit",3,0.896199360191108
"story3","C","A","! C because A","hit",3,0.896199360191108
"story4","A","C","! A because ! C","unsure",4,0.392054472142839
"story4","B","C","! B because ! C","unsure",4,0.392054472142839
"story4","D","C","! D because ! C","hit",4,0.605382524156946
"story5","A","C","A because C","unsure",5,0.498700319395466
"story5","B","C","B because C","hit",5,0.493748154941737
"story5","D","C","D because C","hit",5,0.5
"story6","A","B","! A because ! B","lower",6,0.501571492172551
"story6","C","B","C because ! B","lower",6,0.883506129663366
