,story,variable,rating,ci.high,ci.low,story.number,premise.variable,premise.value,actual.value,tag
1,story1,A,0.746,0.8790125,0.5984625,1,A,F,T,hit
2,story1,B,0.1555,0.26355,0.054975,1,A,F,T,hit
3,story2,A,0.294,0.429525,0.16095,2,B,F,T,hit
4,story2,B,0.5095,0.683,0.3204875,2,B,F,T,higher
5,story2,C,0.7855,0.8995625,0.6639875,2,B,F,T,hit
6,story3a,A,0.69,0.8675625,0.524166666666667,3,A,F,T,hit
7,story3a,C,0.6475,0.8025,0.494104166666667,3,A,F,F,hit
8,story3b,A,0.89375,0.9825,0.76746875,3,A,F,T,hit
9,story3b,B,0.2525,0.36375,0.13871875,3,A,F,T,lower
10,story3b,C,0.75625,0.93625,0.58125,3,A,F,F,hit
11,story4,A,0.2835,0.42605,0.1574625,4,C,T,F,unsure
12,story4,B,0.3565,0.496125,0.221975,4,C,T,F,unsure
13,story4,C,0.5115,0.6800375,0.3439625,4,C,T,F,higher
14,story4,D,0.757,0.8730125,0.638825,4,C,T,F,hit
15,story5,A,0.2975,0.4380625,0.1684875,5,C,F,T,unsure
16,story5,B,0.327,0.4730125,0.1924375,5,C,F,T,hit
17,story5,C,0.467,0.64855,0.299875,5,C,F,T,higher
18,story5,D,0.858,0.9405125,0.7645,5,C,F,T,hit
19,story6,A,0.3695,0.5135,0.2354875,6,B,T,F,lower
20,story6,B,0.526,0.685025,0.362475,6,B,T,F,higher
21,story6,C,0.6065,0.7410125,0.4649625,6,B,T,T,lower
