"story_number","explanansVariable","explanandumVariable","rating"
1,"B","A",0.366591859094719
1,"A","B",0.366033089907093
2,"B","A",0.468133222117542
2,"C","A",0.438497639402651
2,"A","B",0.600243436552427
2,"C","B",0.474501619624001
2,"A","C",0.676871973067814
2,"B","C",0.607539139275568
3,"B","A",0.306443012344618
3,"C","A",0.627171629849965
3,"A","B",0.311911135005285
3,"C","B",0.434564572401524
3,"A","C",0.9322823220813
3,"B","C",0.837180595363027
4,"B","A",0.313478823872727
4,"C","A",0.392054472142839
4,"D","A",0.392344202824298
4,"A","B",0.313070396737208
4,"C","B",0.392054472142839
4,"D","B",0.392344202824298
4,"A","C",0.471227588261373
4,"B","C",0.471227588261373
4,"D","C",0.5
4,"A","D",0.579461638207551
4,"B","D",0.579461638207551
4,"C","D",0.605382524156946
5,"B","A",0.358879777980374
5,"C","A",0.498700319395466
5,"D","A",0.498466029696743
5,"A","B",0.356690008490265
5,"C","B",0.493748154941737
5,"D","B",0.493573526566856
5,"A","C",0.369521105184238
5,"B","C",0.375504300727221
5,"D","C",0.5
5,"A","D",0.479967402158345
5,"B","D",0.485538834619803
5,"C","D",0.605996935012185
6,"B","A",0.501571492172552
6,"C","A",0.480975336701202
6,"A","B",0.620054561170219
6,"C","B",0.807250942426778
6,"A","C",0.609725670066729
6,"B","C",0.908600417611317
