alpha,alpha2,cost,alternatives,model,story.number,background_knowledge
1,1,0,yes/no,s2,1,all_states
1,1,1,yes/no,s2,1,all_states
1,10,0,yes/no,s2,1,all_states
1,10,1,yes/no,s2,1,all_states
10,1,0,yes/no,s2,1,all_states
10,1,1,yes/no,s2,1,all_states
10,10,0,yes/no,s2,1,all_states
10,10,1,yes/no,s2,1,all_states
1,1,0,yes/no/reverse,s2,1,all_states
1,1,1,yes/no/reverse,s2,1,all_states
1,10,0,yes/no/reverse,s2,1,all_states
1,10,1,yes/no/reverse,s2,1,all_states
10,1,0,yes/no/reverse,s2,1,all_states
10,1,1,yes/no/reverse,s2,1,all_states
10,10,0,yes/no/reverse,s2,1,all_states
10,10,1,yes/no/reverse,s2,1,all_states
1,1,0,all,s2,1,all_states
1,1,1,all,s2,1,all_states
1,10,0,all,s2,1,all_states
1,10,1,all,s2,1,all_states
10,1,0,all,s2,1,all_states
10,1,1,all,s2,1,all_states
10,10,0,all,s2,1,all_states
10,10,1,all,s2,1,all_states
1,1,0,yes/no,s1,1,all_states
1,1,1,yes/no,s1,1,all_states
10,1,0,yes/no,s1,1,all_states
10,1,1,yes/no,s1,1,all_states
1,1,0,yes/no/reverse,s1,1,all_states
1,1,1,yes/no/reverse,s1,1,all_states
10,1,0,yes/no/reverse,s1,1,all_states
10,1,1,yes/no/reverse,s1,1,all_states
1,1,0,all,s1,1,all_states
1,1,1,all,s1,1,all_states
10,1,0,all,s1,1,all_states
10,1,1,all,s1,1,all_states
1,1,0,yes/no,s2,2,all_states
1,1,1,yes/no,s2,2,all_states
1,10,0,yes/no,s2,2,all_states
1,10,1,yes/no,s2,2,all_states
10,1,0,yes/no,s2,2,all_states
10,1,1,yes/no,s2,2,all_states
10,10,0,yes/no,s2,2,all_states
10,10,1,yes/no,s2,2,all_states
1,1,0,yes/no/reverse,s2,2,all_states
1,1,1,yes/no/reverse,s2,2,all_states
1,10,0,yes/no/reverse,s2,2,all_states
1,10,1,yes/no/reverse,s2,2,all_states
10,1,0,yes/no/reverse,s2,2,all_states
10,1,1,yes/no/reverse,s2,2,all_states
10,10,0,yes/no/reverse,s2,2,all_states
10,10,1,yes/no/reverse,s2,2,all_states
1,1,0,all,s2,2,all_states
1,1,1,all,s2,2,all_states
1,10,0,all,s2,2,all_states
1,10,1,all,s2,2,all_states
10,1,0,all,s2,2,all_states
10,1,1,all,s2,2,all_states
10,10,0,all,s2,2,all_states
10,10,1,all,s2,2,all_states
1,1,0,yes/no,s1,2,all_states
1,1,1,yes/no,s1,2,all_states
10,1,0,yes/no,s1,2,all_states
10,1,1,yes/no,s1,2,all_states
1,1,0,yes/no/reverse,s1,2,all_states
1,1,1,yes/no/reverse,s1,2,all_states
10,1,0,yes/no/reverse,s1,2,all_states
10,1,1,yes/no/reverse,s1,2,all_states
1,1,0,all,s1,2,all_states
1,1,1,all,s1,2,all_states
10,1,0,all,s1,2,all_states
10,1,1,all,s1,2,all_states
1,1,0,yes/no,s2,1,none
1,1,1,yes/no,s2,1,none
1,10,0,yes/no,s2,1,none
1,10,1,yes/no,s2,1,none
10,1,0,yes/no,s2,1,none
10,1,1,yes/no,s2,1,none
10,10,0,yes/no,s2,1,none
10,10,1,yes/no,s2,1,none
1,1,0,yes/no/reverse,s2,1,none
1,1,1,yes/no/reverse,s2,1,none
1,10,0,yes/no/reverse,s2,1,none
1,10,1,yes/no/reverse,s2,1,none
10,1,0,yes/no/reverse,s2,1,none
10,1,1,yes/no/reverse,s2,1,none
10,10,0,yes/no/reverse,s2,1,none
10,10,1,yes/no/reverse,s2,1,none
1,1,0,all,s2,1,none
1,1,1,all,s2,1,none
1,10,0,all,s2,1,none
1,10,1,all,s2,1,none
10,1,0,all,s2,1,none
10,1,1,all,s2,1,none
10,10,0,all,s2,1,none
10,10,1,all,s2,1,none
1,1,0,yes/no,s1,1,none
1,1,1,yes/no,s1,1,none
10,1,0,yes/no,s1,1,none
10,1,1,yes/no,s1,1,none
1,1,0,yes/no/reverse,s1,1,none
1,1,1,yes/no/reverse,s1,1,none
10,1,0,yes/no/reverse,s1,1,none
10,1,1,yes/no/reverse,s1,1,none
1,1,0,all,s1,1,none
1,1,1,all,s1,1,none
10,1,0,all,s1,1,none
10,1,1,all,s1,1,none
1,1,0,yes/no,s2,2,none
1,1,1,yes/no,s2,2,none
1,10,0,yes/no,s2,2,none
1,10,1,yes/no,s2,2,none
10,1,0,yes/no,s2,2,none
10,1,1,yes/no,s2,2,none
10,10,0,yes/no,s2,2,none
10,10,1,yes/no,s2,2,none
1,1,0,yes/no/reverse,s2,2,none
1,1,1,yes/no/reverse,s2,2,none
1,10,0,yes/no/reverse,s2,2,none
1,10,1,yes/no/reverse,s2,2,none
10,1,0,yes/no/reverse,s2,2,none
10,1,1,yes/no/reverse,s2,2,none
10,10,0,yes/no/reverse,s2,2,none
10,10,1,yes/no/reverse,s2,2,none
1,1,0,all,s2,2,none
1,1,1,all,s2,2,none
1,10,0,all,s2,2,none
1,10,1,all,s2,2,none
10,1,0,all,s2,2,none
10,1,1,all,s2,2,none
10,10,0,all,s2,2,none
10,10,1,all,s2,2,none
1,1,0,yes/no,s1,2,none
1,1,1,yes/no,s1,2,none
10,1,0,yes/no,s1,2,none
10,1,1,yes/no,s1,2,none
1,1,0,yes/no/reverse,s1,2,none
1,1,1,yes/no/reverse,s1,2,none
10,1,0,yes/no/reverse,s1,2,none
10,1,1,yes/no/reverse,s1,2,none
1,1,0,all,s1,2,none
1,1,1,all,s1,2,none
10,1,0,all,s1,2,none
10,1,1,all,s1,2,none
